% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  288   829.375  271.185   3.973E-03   1.153E-03
  289   830.000  271.265   4.774E-03   2.195E-03
  290   830.625  271.249   3.814E-03   1.243E-03
  291   831.250  271.309   4.607E-03   2.466E-03
  292   831.875  271.284   4.125E-03   2.192E-03
  293   832.500  271.307   4.760E-03   2.315E-03
  294   833.125  271.274   3.679E-03   1.745E-03
  295   833.750  271.318   7.352E-03  -1.138E-03
  296   834.375  271.257   2.907E-03   8.855E-04
  297   835.000  271.072   7.408E-03   7.889E-04
  298   835.625  270.843   4.870E-03  -2.378E-03
  299   836.250  271.128   5.500E-03   1.208E-03
  300   836.875  271.226   2.968E-03   6.860E-04
  301   837.500  271.231   4.101E-03   1.140E-03
  302   838.125  271.147   2.867E-03  -7.630E-04
  303   838.750  271.073   3.155E-03   1.142E-03
  304   839.375  269.788   6.875E-03  -3.658E-03
  305   840.000  268.641   9.216E-03  -3.204E-03
  306   840.625  269.923   6.638E-03  -3.865E-03
  307   841.250  270.645   5.241E-03  -1.296E-03
  308   841.875  270.302   9.525E-03  -2.435E-03
  309   842.500  270.628   4.839E-03  -1.209E-03
  310   843.125  270.852   4.547E-03  -3.916E-03
  311   843.750  270.841   2.877E-03  -1.547E-03
  312   844.375  270.746   2.916E-03  -1.905E-03
  313   845.000  270.714   4.600E-03  -1.762E-03
  314   845.625  270.600   3.569E-03  -2.220E-03
  315   846.250  270.612   3.096E-03  -1.188E-03
  316   846.875  270.572   5.152E-03  -4.405E-03
  317   847.500  270.626   2.069E-03  -6.874E-04
  318   848.125  270.602   6.048E-03  -5.244E-03
  319   848.750  270.062   3.625E-03  -2.001E-03
  320   849.375  268.353   1.073E-02  -7.738E-03
  321   850.000  268.829   5.964E-03  -1.773E-03
  322   850.625  270.310   8.436E-03  -5.594E-03
  323   851.250  270.454   3.433E-03   1.156E-03
  324   851.875  268.710   9.882E-03  -7.311E-03
  325   852.500  266.351   1.183E-02  -2.022E-03
  326   853.125  267.875   1.253E-02  -7.812E-03
  327   853.750  269.602   6.284E-03  -9.745E-04
  328   854.375  268.713   1.213E-02  -7.675E-03
  329   855.000  269.324   7.520E-03  -1.178E-03
  330   855.625  270.929   9.377E-03  -5.560E-03
  331   856.250  271.259   2.931E-03   2.033E-03
  332   856.875  271.334   5.074E-03   2.578E-03
  333   857.500  271.332   2.964E-03   2.116E-03
  334   858.125  271.201   9.671E-03  -3.654E-03
  335   858.750  271.117   2.678E-03   4.951E-04
  336   859.375  271.254   8.000E-03  -3.309E-03
  337   860.000  271.312   5.105E-03   2.196E-03
  338   860.625  271.424   4.438E-03   2.248E-03
  339   861.250  271.427   2.943E-03   2.125E-03
  340   861.875  271.440   6.645E-03   4.170E-03
  341   862.500  271.412   3.272E-03   2.895E-03
  342   863.125  271.421   4.454E-03   2.244E-03
  343   863.750  271.373   3.318E-03   2.942E-03
  344   864.375  270.987   1.137E-02  -5.412E-03
  345   865.000  269.945   5.943E-03  -2.094E-04
  346   865.625  269.968   9.500E-03  -6.781E-03
  347   866.250  271.049   2.179E-03   7.403E-04
  348   866.875  271.379   2.845E-03  -1.775E-03
  349   867.500  271.388   3.448E-03   3.143E-03
  350   868.125  271.371   3.135E-03  -2.643E-03
  351   868.750  271.394   3.377E-03   3.052E-03
  352   869.375  271.371   3.735E-03  -3.367E-03
  353   870.000  271.318   3.344E-03   2.904E-03
  354   870.625  270.329   8.155E-03  -6.989E-03
  355   871.250  269.136   6.427E-03  -4.922E-04
  356   871.875  270.282   8.350E-03  -7.193E-03
  357   872.500  271.305   3.403E-03   3.025E-03
  358   873.125  271.371   4.128E-03  -3.721E-03
